trackName,msPlayed,duration_ms,hoursPlayed,Percentage_Listened
Wat's Wrong (feat. Zacari & Kendrick Lamar),125765,661566,0.03,0.19
Watch (feat. Lil Uzi Vert & Kanye West),4597,217405,0.0,0.02
Water,234818,277872,0.07,0.85
Watery,421124,421126,0.12,1.0
Wave of You,2866911,3849156,0.8,0.74
Waves,482799,907865,0.13,0.53
Waves - Robin Schulz Radio Edit,109946,208133,0.03,0.53
Wavy (feat. Joe Moses),390550,750684,0.11,0.52
Way Back Home (feat. Ty Dolla $ign),1001263,1194702,0.28,0.84
Way It Goes,490912,490912,0.14,1.0
Way More Close (Stuck In A Box) (feat. Big Sean),4123080,5704989,1.15,0.72
We Are,236812,236812,0.07,1.0
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte),222520,222520,0.06,1.0
We Belong Together,201400,201400,0.06,1.0
We Caa Done (feat. Drake),980960,980964,0.27,1.0
We Can't Be Friends,208451,208452,0.06,1.0
We Could Go Back,192449,192449,0.05,1.0
We Find Love,1671742,2294271,0.46,0.73
We The Ones (feat. Blxst & Tree Thomas),227524,443090,0.06,0.51
We've Never Met but Can We Have a Cup of Coffee or Something,199603,199604,0.06,1.0
Webbie (feat. Duke),1314400,1415358,0.37,0.93
Wednesday Morning,235409,235410,0.07,1.0
Weekend (feat. Miguel),343712,624240,0.1,0.55
Weekend Millionaires,4723870,5379240,1.31,0.88
Welcome To The Party,10567837,15692080,2.94,0.67
West Coast Love,3635774,4738514,1.01,0.77
West LA,28938,322022,0.01,0.09
Wet Dreamz,160983,239320,0.04,0.67
What Happened To Virgil (feat. Gunna),4335449,5985969,1.2,0.72
What I've Done,93610,205613,0.03,0.46
What They Want,165853,165853,0.05,1.0
What You Know Bout Love,60613,320000,0.02,0.19
What's My Name?,263173,263173,0.07,1.0
What's the Move (feat. Lil Uzi Vert),156363,251080,0.04,0.62
Whatcha Say,193102,221253,0.05,0.87
Whatever You Like,39397,499066,0.01,0.08
Whatever You Need (feat. Chris Brown & Ty Dolla $ign),2061919,2669849,0.57,0.77
When I Come Around,901117,1116695,0.25,0.81
When I Grow Up,998,245680,0.0,0.0
Where The Hood At,288886,572534,0.08,0.5
Where the Party At (feat. Nelly),1653851,2790876,0.46,0.59
Wherever You Are (with Tory Lanez),1229215,1612000,0.34,0.76
Whip My Hair,195440,193960,0.05,1.01
White Iverson,256533,256533,0.07,1.0
Who Booty (Remix) (feat. French Montana),1127634,1516904,0.31,0.74
Who Dat Girl (feat. Akon),152321,803520,0.04,0.19
Who Do You Love?,1406368,1634549,0.39,0.86
Who Hurt You?,927785,927856,0.26,1.0
Who Needs Love,347740,347740,0.1,1.0
Who Says,175480,175480,0.05,1.0
Who's That Chick ? (feat. Rihanna) - Single Version,51057,165600,0.01,0.31
Why Georgia,2190991,3227676,0.61,0.68
"Why Georgia - Live at the Nokia Theatre, Los Angeles, CA - December 2007",526350,534800,0.15,0.98
Wide Awake,21863,441894,0.01,0.05
Wide Open (feat. Ta-ku & Masego) - Cabu & Ta-ku Remix,4325943,6613454,1.2,0.65
Wife You,22476,191460,0.01,0.12
Wife You Up,108762,183253,0.03,0.59
Wild Thoughts - Medasin Dance Remix,274670,274670,0.08,1.0
Will We Ever Know - Intro,104095,104095,0.03,1.0
Willing To Trust (with Ty Dolla $ign),1115051,2256424,0.31,0.49
Window,1415672,1950102,0.39,0.73
Winner (feat. Justin Timberlake & T.I.),684386,727119,0.19,0.94
Wishing Well,593894,778484,0.16,0.76
With You,252120,252120,0.07,1.0
Without Me,491980,403322,0.14,1.22
Without Me (with Juice WRLD),91904,228816,0.03,0.4
Woah (feat. Miguel & Ty Dolla $ign),346262,516576,0.1,0.67
Wobble,540416,643974,0.15,0.84
Wolves,63901,233531,0.02,0.27
Won't Go (feat. Blxst),7972833,9562500,2.21,0.83
Woo Baby (feat. Chris Brown),629543,780000,0.17,0.81
Woodlawn,143152,143153,0.04,1.0
Woods,1583478,1736796,0.44,0.91
Work,219320,219320,0.06,1.0
Work Out,470640,469546,0.13,1.0
Work from Home (feat. Ty Dolla $ign),641510,643440,0.18,1.0
World Rage,135418,135419,0.04,1.0
Worth It,131610,189253,0.04,0.7
"Wouldn't Be Us (with YG, Blxst)",3300923,3705078,0.92,0.89
Wouldn't Leave,411092,411094,0.11,1.0
Wow.,139036,149520,0.04,0.93
Write My Name,1149806,1382400,0.32,0.83
Wrong or Right,10368738,12240000,2.88,0.85
X (with 2 Chainz & Saudi),975531,1069708,0.27,0.91
XO Tour Llif3,2213979,2740605,0.61,0.81
Y.M.C.A.,286666,286667,0.08,1.0
YOSEMITE,431544,450129,0.12,0.96
YUSO (feat. Lil Wayne & Saweetie),569774,694560,0.16,0.82
Yacht Club (feat. Juice WRLD),665372,665372,0.18,1.0
Yea Yea,557642,557412,0.15,1.0
Yeah 3x,241666,241667,0.07,1.0
Yeah! (feat. Lil Jon & Ludacris),1068674,1251865,0.3,0.85
Yes Indeed,496516,711365,0.14,0.7
Yessirskiii,156014,658020,0.04,0.24
Yiken (Certified),493360,596889,0.14,0.83
Yo (Excuse Me Miss),384729,458080,0.11,0.84
"Yo Love - From ""Queen & Slim: The Soundtrack""",1582130,1582130,0.44,1.0
You,1578330,3550729,0.44,0.44
You & I (Nobody in the World),252653,252653,0.07,1.0
You & Me - Flume Remix,155841,282813,0.04,0.55
You (Remix) feat. Blueface,302716,672720,0.08,0.45
You And Me,186665,195493,0.05,0.95
You Found Me,3993,241853,0.0,0.02
You Got It,702114,1015725,0.2,0.69
You Gotta Be,146023,245200,0.04,0.6
You Said (feat. Quavo),355020,402067,0.1,0.88
You and Me,968554,1405368,0.27,0.69
You and Your Friends (feat. Snoop Dogg & Ty Dolla $ign),559119,559119,0.16,1.0
