,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,trackName
0,0.757,0.868,7,-3.627,1,0.157,0.154,0.00251,0.332,0.665,129.978,audio_features,5NiqIB4BwRpoU1V6U195OU,spotify:track:5NiqIB4BwRpoU1V6U195OU,https://api.spotify.com/v1/tracks/5NiqIB4BwRpoU1V6U195OU,https://api.spotify.com/v1/audio-analysis/5NiqIB4BwRpoU1V6U195OU,156695,4,151 Rum
0,0.929,0.612,0,-4.467,1,0.192,0.0995,0.0,0.117,0.809,134.953,audio_features,0bEa2tI3Pk6M6TWkcD1uRY,spotify:track:0bEa2tI3Pk6M6TWkcD1uRY,https://api.spotify.com/v1/tracks/0bEa2tI3Pk6M6TWkcD1uRY,https://api.spotify.com/v1/audio-analysis/0bEa2tI3Pk6M6TWkcD1uRY,216147,4,On Me
0,0.922,0.622,0,-4.509,1,0.203,0.109,0.0,0.162,0.821,134.941,audio_features,576JCUaqor63kCrYkP5Z5e,spotify:track:576JCUaqor63kCrYkP5Z5e,https://api.spotify.com/v1/tracks/576JCUaqor63kCrYkP5Z5e,https://api.spotify.com/v1/audio-analysis/576JCUaqor63kCrYkP5Z5e,216209,4,On Me
0,0.856,0.564,6,-6.295,0,0.392,0.00327,0.0,0.134,0.483,77.972,audio_features,4Iedi94TIaB2GGb1nMB68v,spotify:track:4Iedi94TIaB2GGb1nMB68v,https://api.spotify.com/v1/tracks/4Iedi94TIaB2GGb1nMB68v,https://api.spotify.com/v1/audio-analysis/4Iedi94TIaB2GGb1nMB68v,135960,4,On Me
0,0.887,0.568,2,-5.853,1,0.323,0.00171,1.11e-05,0.0812,0.754,162.038,audio_features,1psC5iHzQxaTMZ5dWGfM6I,spotify:track:1psC5iHzQxaTMZ5dWGfM6I,https://api.spotify.com/v1/tracks/1psC5iHzQxaTMZ5dWGfM6I,https://api.spotify.com/v1/audio-analysis/1psC5iHzQxaTMZ5dWGfM6I,149242,4,Juice
0,0.396,0.554,0,-5.048,1,0.0488,0.222,0.0,0.612,0.17,117.384,audio_features,2Zy7XVdxyZQB8xp5xbpJdl,spotify:track:2Zy7XVdxyZQB8xp5xbpJdl,https://api.spotify.com/v1/tracks/2Zy7XVdxyZQB8xp5xbpJdl,https://api.spotify.com/v1/audio-analysis/2Zy7XVdxyZQB8xp5xbpJdl,272501,4,way back
0,0.906,0.444,4,-8.692,0,0.384,0.136,6.44e-05,0.173,0.678,140.063,audio_features,4gmmRb6bZJffOOiww1JGTO,spotify:track:4gmmRb6bZJffOOiww1JGTO,https://api.spotify.com/v1/tracks/4gmmRb6bZJffOOiww1JGTO,https://api.spotify.com/v1/audio-analysis/4gmmRb6bZJffOOiww1JGTO,235040,4,No Heart
0,0.726,0.597,7,-8.574,1,0.145,0.128,0.0326,0.131,0.367,83.021,audio_features,3xAXYCtd98G5G0SSJAHtqd,spotify:track:3xAXYCtd98G5G0SSJAHtqd,https://api.spotify.com/v1/tracks/3xAXYCtd98G5G0SSJAHtqd,https://api.spotify.com/v1/audio-analysis/3xAXYCtd98G5G0SSJAHtqd,151615,4,Dip Dip
0,0.794,0.448,10,-4.771,0,0.0539,0.591,0.0,0.109,0.588,120.055,audio_features,2LNMhZ3YijTO7USmqjgJfG,spotify:track:2LNMhZ3YijTO7USmqjgJfG,https://api.spotify.com/v1/tracks/2LNMhZ3YijTO7USmqjgJfG,https://api.spotify.com/v1/audio-analysis/2LNMhZ3YijTO7USmqjgJfG,231333,4,CLOUT COBAIN | CLOUT CO13A1N
0,0.754,0.711,6,-3.842,0,0.072,0.336,0.0,0.128,0.27,138.031,audio_features,38mQZ5tZ6IylQaJCCF90ox,spotify:track:38mQZ5tZ6IylQaJCCF90ox,https://api.spotify.com/v1/tracks/38mQZ5tZ6IylQaJCCF90ox,https://api.spotify.com/v1/audio-analysis/38mQZ5tZ6IylQaJCCF90ox,196373,4,The Top
