,artistName,msPlayed,minPlayed,hourPlayed
685,JR Castro,3392,0.05653333333333333,0.0009422222222222222
1476,Smiley,3290,0.05483333333333333,0.0009138888888888889
1808,Yugi Boi,3290,0.05483333333333333,0.0009138888888888889
365,DJ SpinKing,3210,0.0535,0.0008916666666666667
991,M City JR,3181,0.05301666666666666,0.0008836111111111111
568,Fuel,3180,0.053,0.0008833333333333333
1218,P!nk,3130,0.05216666666666667,0.0008694444444444445
723,Jay Rock,3041,0.05068333333333333,0.0008447222222222222
1660,Tony Dize,2925,0.04875,0.0008125000000000001
1061,Mavado,2922,0.0487,0.0008116666666666667
92,Anthony Gonzalez,2920,0.048666666666666664,0.0008111111111111111
349,D4L,2879,0.047983333333333336,0.0007997222222222223
664,Ingrid Andress,2856,0.0476,0.0007933333333333334
594,Gloria Gaynor,2832,0.0472,0.0007866666666666666
1822,Zion Foster,2819,0.046983333333333335,0.0007830555555555556
220,Brain 35,2786,0.04643333333333333,0.0007738888888888888
361,DJ Quik,2760,0.046,0.0007666666666666667
1407,Samuel Kim,2751,0.04585,0.0007641666666666667
1302,Quando Rondo,2730,0.0455,0.0007583333333333333
1305,Queen Naija,2720,0.04533333333333334,0.0007555555555555556
1345,Reo Cragun,2647,0.044116666666666665,0.0007352777777777777
1274,Playing To Pitch In,2610,0.0435,0.000725
502,Evan And Jaron,2560,0.042666666666666665,0.000711111111111111
768,John Summit,2554,0.04256666666666667,0.0007094444444444445
496,Erica Banks,2550,0.0425,0.0007083333333333334
1676,Tray Jack,2530,0.042166666666666665,0.0007027777777777778
254,CHASE B,2507,0.04178333333333333,0.0006963888888888889
1464,Skee-Lo,2507,0.04178333333333333,0.0006963888888888889
1447,Shyne,2500,0.041666666666666664,0.0006944444444444444
117,Azizi Gibson,2438,0.040633333333333334,0.0006772222222222222
695,Jacob Collier,2414,0.040233333333333336,0.0006705555555555556
1013,Maejor,2330,0.03883333333333333,0.0006472222222222222
1877,piri,2275,0.03791666666666667,0.0006319444444444444
1807,Youngn Lipz,2275,0.03791666666666667,0.0006319444444444444
1716,Verse Simmonds,2229,0.03715,0.0006191666666666667
1281,Pom Pom Squad,2229,0.03715,0.0006191666666666667
1704,V,2182,0.036366666666666665,0.0006061111111111111
600,Grady,2176,0.03626666666666667,0.0006044444444444445
746,Jhené Aiko,2136,0.0356,0.0005933333333333333
337,Craig David,2127,0.03545,0.0005908333333333334
1434,Sheck Wes,2100,0.035,0.0005833333333333334
1780,Yatta Bandz,2093,0.034883333333333336,0.0005813888888888889
534,Five,2090,0.034833333333333334,0.0005805555555555556
113,Avril Lavigne,2089,0.03481666666666667,0.0005802777777777779
628,Hear'Say,2060,0.034333333333333334,0.0005722222222222222
1450,Sideviewer,2043,0.03405,0.0005675
960,Loafy Building,2030,0.03383333333333333,0.0005638888888888888
1893,warner case,2020,0.033666666666666664,0.0005611111111111111
1365,Rob Base & DJ EZ Rock,1950,0.0325,0.0005416666666666666
